beds,baths,sqft,neighborhood,latitude,longitude,price,description
1,1.0,662.0,Midtown,40.7815756262386,-73.97468705391715,2387,"Family-friendly 1bd with backyard, washer/dryer, and storage"
2,2.0,837.0,Riverside,40.77963099849078,-73.93516676785934,2841,"Family-friendly 2bd with backyard, washer/dryer, and storage"
1,2.0,592.0,Riverside,40.79440787069827,-73.94855347181758,2155,"Bright 1bd with balcony, dishwasher, and gym access"
3,2.0,1029.0,Downtown,40.71312152131743,-73.99326691690877,3920,Spacious 3bd with in-unit laundry and garage parking
2,2.0,,Midtown,40.749738253069616,-73.97799106548293,3282,"Bright 2bd with balcony, dishwasher, and gym access"
2,2.0,814.0,Old Town,40.72756171345527,-73.91625196266092,2913,"Bright 2bd with balcony, dishwasher, and gym access"
1,2.0,600.0,Old Town,40.735864018009,-73.92396868830437,2316,"Cozy 1bd, no pets, hardwood floors"
3,2.0,956.0,Midtown,40.732031077542324,-73.98652687215747,3363,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
3,3.0,968.0,Old Town,40.7355266196207,-73.93251662112272,3568,"Bright 3bd with balcony, dishwasher, and gym access"
4,3.0,1192.0,Downtown,40.724333886564615,-74.01039085094165,4478,"Cozy 4bd, no pets, hardwood floors"
2,2.0,772.0,Midtown,40.758585445260415,-73.97132527882702,2683,"Family-friendly 2bd with backyard, washer/dryer, and storage"
1,2.0,648.0,Old Town,40.703255731958656,-73.92812779398034,2408,Modern 1bd near transit with central AC and secure entry
4,3.0,1120.0,Uptown,40.78069338208808,-73.98214781749463,4128,Modern 4bd near transit with central AC and secure entry
3,2.0,982.0,Riverside,40.80533853069131,-73.9517705844383,3611,Modern 3bd near transit with central AC and secure entry
3,2.0,994.0,Downtown,40.72526972597781,-74.00762135637088,3844,"Cozy 3bd, no pets, hardwood floors"
1,1.0,728.0,Downtown,40.72330889156513,-73.99558318521865,2843,"Cozy 1bd, no pets, hardwood floors"
2,2.0,755.0,Downtown,40.71175154475409,-74.01431696662385,2889,Spacious 2bd with in-unit laundry and garage parking
4,2.0,1229.0,Downtown,40.70517719162653,-73.99594575981358,4365,"Cozy 4bd, no pets, hardwood floors"
4,3.0,1176.0,Downtown,40.71229423823545,-74.01855418663676,4205,Modern 4bd near transit with central AC and secure entry
2,2.0,826.0,Uptown,40.764481645973895,-73.96121802257484,2856,"Bright 2bd with balcony, dishwasher, and gym access"
4,3.0,1175.0,Uptown,40.77813865893283,-73.96723534693213,4162,"Family-friendly 4bd with backyard, washer/dryer, and storage"
4,3.0,1188.0,Old Town,40.74547648288483,-73.95090709372224,4218,"Family-friendly 4bd with backyard, washer/dryer, and storage"
2,3.0,,Midtown,40.75745835143385,-73.98754832975463,2988,Modern 2bd near transit with central AC and secure entry
4,3.0,1228.0,Downtown,40.71735691450754,-73.99113008001895,4131,Spacious 4bd with in-unit laundry and garage parking
2,3.0,792.0,Old Town,40.714646578224055,-73.92836242461553,2813,Spacious 2bd with in-unit laundry and garage parking
1,2.0,675.0,Downtown,40.725178285299926,-74.00823652476748,2398,"Cozy 1bd, no pets, hardwood floors"
3,2.0,964.0,Riverside,40.79965063608528,-73.96147860757218,3381,"Cozy 3bd, no pets, hardwood floors"
3,3.0,988.0,Downtown,40.71693780493468,-73.9990117687116,3635,Spacious 3bd with in-unit laundry and garage parking
1,2.0,587.0,Uptown,40.79143536631682,-73.98298366766738,2340,"Family-friendly 1bd with backyard, washer/dryer, and storage"
4,3.0,,Riverside,40.81318319797246,-73.95249860205371,4307,"Bright 4bd with balcony, dishwasher, and gym access"
1,2.0,688.0,Uptown,40.78693299472428,-73.9891298636786,2285,"Family-friendly 1bd with backyard, washer/dryer, and storage"
4,3.0,,Uptown,40.783323051528,-73.9688671294767,4024,"Cozy 4bd, no pets, hardwood floors"
1,2.0,622.0,Old Town,40.71686479714656,-73.93952165676292,2537,Spacious 1bd with in-unit laundry and garage parking
4,3.0,1125.0,Downtown,40.695887567349295,-73.99871249330016,4100,Spacious 4bd with in-unit laundry and garage parking
4,2.0,1161.0,Old Town,40.732591463778824,-73.95494939797777,4086,"Bright 4bd with balcony, dishwasher, and gym access"
4,3.0,1106.0,Riverside,40.80551757833898,-73.96717810736868,4023,"Bright 4bd with balcony, dishwasher, and gym access"
3,3.0,953.0,Riverside,40.80749697139305,-73.97119838920506,3663,"Bright 3bd with balcony, dishwasher, and gym access"
2,2.0,819.0,Midtown,40.74838224719109,-73.99475013551749,3152,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
3,2.0,1043.0,Midtown,40.75154195740142,-73.98527409884103,3795,Modern 3bd near transit with central AC and secure entry
2,1.0,922.0,Old Town,40.7323755015851,-73.9374886385337,3063,"Family-friendly 2bd with backyard, washer/dryer, and storage"
4,2.0,1147.0,Uptown,40.77962016541204,-73.97541683921607,3952,Spacious 4bd with in-unit laundry and garage parking
3,3.0,1047.0,Midtown,40.78809269742609,-73.99474870181798,3923,"Bright 3bd with balcony, dishwasher, and gym access"
2,,820.0,Downtown,40.70610433589745,-73.96647375069958,3140,Modern 2bd near transit with central AC and secure entry
3,2.0,984.0,Downtown,40.71785215962953,-74.02255976799084,3515,Modern 3bd near transit with central AC and secure entry
3,3.0,1007.0,Midtown,40.76811224644773,-73.99642046667041,3793,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
1,,632.0,Downtown,40.72370873809366,-74.00853154735245,2329,"Bright 1bd with balcony, dishwasher, and gym access"
1,1.0,634.0,Downtown,40.70752244980613,-73.98669002037407,2623,"Bright 1bd with balcony, dishwasher, and gym access"
1,2.0,614.0,Downtown,40.71959681623191,-73.99432412675061,2605,"Charming 1bd with fireplace, rooftop access, and pet-friendly policy"
1,1.0,574.0,Riverside,40.806519036154235,-73.97183333428552,2143,"Bright 1bd with balcony, dishwasher, and gym access"
2,2.0,,Downtown,40.7201362530431,-73.99148941528779,3002,Modern 2bd near transit with central AC and secure entry
3,3.0,1016.0,Downtown,40.71441685652221,-73.98438028874784,3744,Spacious 3bd with in-unit laundry and garage parking
3,3.0,979.0,Midtown,40.76820584643843,-73.98295620940274,3934,Spacious 3bd with in-unit laundry and garage parking
2,3.0,786.0,Midtown,40.76101783837222,-73.98385315445239,2820,Spacious 2bd with in-unit laundry and garage parking
4,3.0,1170.0,Riverside,40.78628513457286,-73.9675808663497,4351,"Bright 4bd with balcony, dishwasher, and gym access"
3,3.0,1022.0,Riverside,40.803954237824094,-73.97149302145519,3588,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
1,1.0,637.0,Midtown,40.76205212422446,-73.98524431011575,2194,Spacious 1bd with in-unit laundry and garage parking
4,4.0,1144.0,Midtown,40.767284302693184,-73.97754265142721,4096,"Charming 4bd with fireplace, rooftop access, and pet-friendly policy"
3,2.0,1039.0,Midtown,40.76000583945102,-74.00190655469562,3623,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
3,3.0,1053.0,Downtown,40.734288672864174,-74.00770269198286,3518,Spacious 3bd with in-unit laundry and garage parking
3,2.0,1010.0,Midtown,40.75702936255566,-73.9896102501844,3630,Spacious 3bd with in-unit laundry and garage parking
3,3.0,1029.0,Downtown,40.70693906012721,-73.98747130342399,3788,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
1,2.0,680.0,Downtown,40.72943253184464,-74.00066727915707,2508,Modern 1bd near transit with central AC and secure entry
3,2.0,1035.0,Uptown,40.78340999814683,-73.96377058417983,3501,"Cozy 3bd, no pets, hardwood floors"
4,3.0,1195.0,Downtown,40.71368556378123,-74.00828267501987,4195,"Charming 4bd with fireplace, rooftop access, and pet-friendly policy"
2,2.0,834.0,Downtown,40.716857271058075,-74.01129389296335,3030,Modern 2bd near transit with central AC and secure entry
3,3.0,1011.0,Uptown,40.787727171168044,-73.96874934889253,3582,Modern 3bd near transit with central AC and secure entry
1,,586.0,Midtown,40.7652352322551,-73.9929296434897,2478,"Family-friendly 1bd with backyard, washer/dryer, and storage"
2,2.0,838.0,Downtown,40.72132163623452,-74.01687573791541,3077,"Cozy 2bd, no pets, hardwood floors"
2,2.0,756.0,Downtown,40.70592920018055,-74.01234710070975,2715,"Bright 2bd with balcony, dishwasher, and gym access"
4,3.0,1138.0,Downtown,40.69993537873152,-73.99381205259937,4057,Spacious 4bd with in-unit laundry and garage parking
1,1.0,682.0,Midtown,40.74637137028572,-73.99388699604889,2466,Modern 1bd near transit with central AC and secure entry
2,2.0,,Old Town,40.745664892525845,-73.94204699242223,3121,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
2,2.0,869.0,Riverside,40.79904228777834,-73.97864434801099,3224,Modern 2bd near transit with central AC and secure entry
4,4.0,1159.0,Midtown,40.76799541449147,-73.97533916506971,4401,"Family-friendly 4bd with backyard, washer/dryer, and storage"
4,4.0,1124.0,Midtown,40.76686735084948,-73.97904964206167,4107,"Cozy 4bd, no pets, hardwood floors"
1,2.0,620.0,Old Town,40.731483069332235,-73.94149252000325,2416,Modern 1bd near transit with central AC and secure entry
1,2.0,634.0,Uptown,40.77492036832001,-73.95572113367885,2123,"Charming 1bd with fireplace, rooftop access, and pet-friendly policy"
4,3.0,1173.0,Downtown,40.72197765126072,-74.0143196507264,4253,Spacious 4bd with in-unit laundry and garage parking
1,1.0,675.0,Downtown,40.71327798121868,-74.00960138111581,2305,"Cozy 1bd, no pets, hardwood floors"
4,3.0,1156.0,Midtown,40.74446147153154,-73.98336818348055,4121,"Family-friendly 4bd with backyard, washer/dryer, and storage"
2,2.0,,Uptown,40.77971408802913,-73.98263043999555,3402,Spacious 2bd with in-unit laundry and garage parking
4,2.0,1130.0,Downtown,40.6950504093503,-74.02476564200246,4177,"Cozy 4bd, no pets, hardwood floors"
2,2.0,,Midtown,40.75354288646767,-73.9865211396451,2858,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
2,2.0,810.0,Midtown,40.74749639027805,-73.97769112686811,3025,Spacious 2bd with in-unit laundry and garage parking
3,3.0,960.0,Midtown,40.75721344149861,-73.97857737627282,3438,"Bright 3bd with balcony, dishwasher, and gym access"
1,2.0,621.0,Uptown,40.78250507051775,-73.98064541162248,2179,"Cozy 1bd, no pets, hardwood floors"
3,3.0,983.0,Old Town,40.731969410853665,-73.95035209414421,3806,"Bright 3bd with balcony, dishwasher, and gym access"
3,,979.0,Uptown,40.79117326224764,-73.98244579047815,3667,"Cozy 3bd, no pets, hardwood floors"
4,3.0,1241.0,Downtown,40.723818790318404,-74.0100614689549,4332,"Cozy 4bd, no pets, hardwood floors"
4,3.0,1166.0,Downtown,40.72555040219572,-74.01947147826306,4120,"Family-friendly 4bd with backyard, washer/dryer, and storage"
3,2.0,980.0,Riverside,40.79316676359125,-73.96192878063782,3483,Spacious 3bd with in-unit laundry and garage parking
2,2.0,726.0,Uptown,40.79874596512112,-73.95120069310022,3047,Spacious 2bd with in-unit laundry and garage parking
2,2.0,774.0,Downtown,40.71329639396417,-73.98394705243057,2996,"Cozy 2bd, no pets, hardwood floors"
2,2.0,,Midtown,40.7545240254021,-73.97231478853165,2487,"Family-friendly 2bd with backyard, washer/dryer, and storage"
4,3.0,1143.0,Old Town,40.71929382803649,-73.93015759391764,4420,"Bright 4bd with balcony, dishwasher, and gym access"
2,2.0,865.0,Old Town,40.70249968350973,-73.94865909213983,3010,Spacious 2bd with in-unit laundry and garage parking
1,1.0,623.0,Riverside,40.806900121576966,-73.9822492662264,2399,Modern 1bd near transit with central AC and secure entry
2,1.0,862.0,Uptown,40.78982339532947,-73.96032250255024,3161,Modern 2bd near transit with central AC and secure entry
1,2.0,632.0,Midtown,40.75198415768738,-73.99712743546809,2444,"Bright 1bd with balcony, dishwasher, and gym access"
1,2.0,631.0,Midtown,40.75230976060975,-73.99708974783022,2485,Spacious 1bd with in-unit laundry and garage parking
1,2.0,626.0,Downtown,40.71158543730381,-74.00477491250135,2337,"Charming 1bd with fireplace, rooftop access, and pet-friendly policy"
4,4.0,1170.0,Old Town,40.726927878522844,-73.91510768911775,3909,"Charming 4bd with fireplace, rooftop access, and pet-friendly policy"
3,2.0,1059.0,Uptown,40.776067154163755,-73.95450280184893,3656,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
3,4.0,897.0,Downtown,40.700305129164256,-74.0051266691607,3681,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
2,2.0,730.0,Riverside,40.815497264902575,-73.95292371417295,2744,"Cozy 2bd, no pets, hardwood floors"
3,3.0,968.0,Midtown,40.7529569052276,-73.97883916335914,3418,"Bright 3bd with balcony, dishwasher, and gym access"
1,1.0,631.0,Downtown,40.71785414900397,-74.01247927014312,2589,"Charming 1bd with fireplace, rooftop access, and pet-friendly policy"
4,3.0,1198.0,Midtown,40.76539139924578,-73.96315009393537,4118,"Bright 4bd with balcony, dishwasher, and gym access"
3,3.0,1009.0,Riverside,40.806960407980746,-73.95970372345114,3506,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
4,3.0,1155.0,Riverside,40.809365859738406,-73.98403171928825,4059,Modern 4bd near transit with central AC and secure entry
1,2.0,671.0,Uptown,40.79022269607847,-73.98340111489806,2381,"Charming 1bd with fireplace, rooftop access, and pet-friendly policy"
2,2.0,851.0,Riverside,40.794221356711624,-73.94055669862574,2769,Spacious 2bd with in-unit laundry and garage parking
3,3.0,997.0,Riverside,40.79826086068409,-73.97538208925153,3472,"Family-friendly 3bd with backyard, washer/dryer, and storage"
2,2.0,849.0,Riverside,40.81513099094681,-73.9778721240341,3036,"Family-friendly 2bd with backyard, washer/dryer, and storage"
2,2.0,821.0,Riverside,40.79593097026972,-73.95151137398416,2998,"Cozy 2bd, no pets, hardwood floors"
1,1.0,608.0,Midtown,40.7585132107837,-74.00423916454152,2514,"Family-friendly 1bd with backyard, washer/dryer, and storage"
2,2.0,838.0,Old Town,40.737127875371876,-73.93995759058456,3221,"Cozy 2bd, no pets, hardwood floors"
1,1.0,634.0,Uptown,40.803178217838365,-73.97847424337161,2568,"Charming 1bd with fireplace, rooftop access, and pet-friendly policy"
2,3.0,810.0,Old Town,40.743214711684715,-73.9138916236116,3045,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
3,2.0,1049.0,Downtown,40.70258868131426,-74.0083185562491,3649,Spacious 3bd with in-unit laundry and garage parking
3,2.0,892.0,Old Town,40.73526350328974,-73.94548814903064,3275,Modern 3bd near transit with central AC and secure entry
3,2.0,933.0,Riverside,40.804543539360495,-73.96919904345008,3469,"Bright 3bd with balcony, dishwasher, and gym access"
2,2.0,763.0,Midtown,40.75505918914088,-73.98491273928751,2987,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
4,3.0,1155.0,Riverside,40.80215517658694,-73.96453343077108,4239,"Cozy 4bd, no pets, hardwood floors"
1,2.0,620.0,Midtown,40.75081408385452,-73.9921620606922,2450,"Family-friendly 1bd with backyard, washer/dryer, and storage"
2,2.0,750.0,Downtown,40.7113769489341,-74.00653709169482,2899,Spacious 2bd with in-unit laundry and garage parking
1,1.0,591.0,Downtown,40.70753380792064,-74.00211272429497,2470,"Cozy 1bd, no pets, hardwood floors"
2,2.0,776.0,Old Town,40.7088228590159,-73.9439655951069,3050,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
4,3.0,1268.0,Uptown,40.781340866085564,-73.98147338224436,4379,"Bright 4bd with balcony, dishwasher, and gym access"
2,,882.0,Midtown,40.77755037617771,-73.9852736578393,3056,"Family-friendly 2bd with backyard, washer/dryer, and storage"
4,3.0,1154.0,Uptown,40.786821236138714,-73.97699876849558,3967,"Charming 4bd with fireplace, rooftop access, and pet-friendly policy"
2,1.0,795.0,Midtown,40.75781065295553,-74.00008304157163,2815,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
3,3.0,944.0,Midtown,40.75596219556686,-73.99674410114315,3392,Spacious 3bd with in-unit laundry and garage parking
2,,734.0,Riverside,40.797971156982925,-73.99721899879563,2885,"Cozy 2bd, no pets, hardwood floors"
2,2.0,805.0,Old Town,40.71706396149868,-73.91763288314583,2979,"Family-friendly 2bd with backyard, washer/dryer, and storage"
4,3.0,1130.0,Old Town,40.740564772989295,-73.919371527969,3827,"Charming 4bd with fireplace, rooftop access, and pet-friendly policy"
4,3.0,1167.0,Uptown,40.80135265523605,-73.96312415091002,4034,"Charming 4bd with fireplace, rooftop access, and pet-friendly policy"
2,1.0,746.0,Riverside,40.79586557577545,-73.97894701135519,2900,"Family-friendly 2bd with backyard, washer/dryer, and storage"
4,,1140.0,Midtown,40.7717609352654,-73.98472518430735,3973,Spacious 4bd with in-unit laundry and garage parking
2,2.0,816.0,Midtown,40.78792827379659,-73.98988117571213,3037,"Family-friendly 2bd with backyard, washer/dryer, and storage"
3,3.0,1005.0,Downtown,40.736474750257365,-74.00788150148836,3565,"Cozy 3bd, no pets, hardwood floors"
4,3.0,1187.0,Uptown,40.800732583167104,-73.9508396991532,4029,"Family-friendly 4bd with backyard, washer/dryer, and storage"
2,2.0,757.0,Uptown,40.77242460086183,-73.97701997693949,2865,Modern 2bd near transit with central AC and secure entry
3,2.0,1024.0,Old Town,40.71820424929162,-73.9499593338591,3605,"Cozy 3bd, no pets, hardwood floors"
2,2.0,778.0,Midtown,40.766004802206304,-73.98785954044298,2793,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
1,2.0,655.0,Downtown,40.71342839587828,-73.99932513038033,2403,"Charming 1bd with fireplace, rooftop access, and pet-friendly policy"
1,2.0,630.0,Uptown,40.76241135799542,-73.9557588079525,2405,Modern 1bd near transit with central AC and secure entry
2,1.0,755.0,Riverside,40.797110870039916,-73.96011118432514,2761,"Family-friendly 2bd with backyard, washer/dryer, and storage"
4,3.0,1157.0,Midtown,40.765448554070744,-73.96905044127084,3884,Spacious 4bd with in-unit laundry and garage parking
1,1.0,645.0,Downtown,40.711541711346605,-74.03148364950852,2195,"Cozy 1bd, no pets, hardwood floors"
2,2.0,835.0,Midtown,40.758685531361444,-73.98309151770206,2934,Spacious 2bd with in-unit laundry and garage parking
3,2.0,984.0,Midtown,40.74558886969032,-73.9837301121468,3351,"Cozy 3bd, no pets, hardwood floors"
1,1.0,691.0,Midtown,40.75366777878329,-74.00161304739139,2401,"Bright 1bd with balcony, dishwasher, and gym access"
3,2.0,1030.0,Midtown,40.766057818740116,-73.99226470181078,3861,"Bright 3bd with balcony, dishwasher, and gym access"
2,2.0,800.0,Uptown,40.779823449423155,-73.97675094616744,2708,"Cozy 2bd, no pets, hardwood floors"
4,2.0,1200.0,Midtown,40.77282574316957,-73.98599099394129,4148,Modern 4bd near transit with central AC and secure entry
3,2.0,1067.0,Midtown,40.758949197846555,-73.99078763385263,3981,"Cozy 3bd, no pets, hardwood floors"
3,3.0,1068.0,Downtown,40.71835440186706,-73.98980818341859,3759,"Bright 3bd with balcony, dishwasher, and gym access"
1,1.0,581.0,Riverside,40.80907432980984,-73.95825759646398,2235,"Charming 1bd with fireplace, rooftop access, and pet-friendly policy"
2,2.0,773.0,Midtown,40.76527476247062,-74.00206291171973,2890,Modern 2bd near transit with central AC and secure entry
4,3.0,1229.0,Midtown,40.74748657401961,-73.9879598487232,4294,Spacious 4bd with in-unit laundry and garage parking
1,1.0,588.0,Downtown,40.704089631490085,-74.01877444429707,2603,"Cozy 1bd, no pets, hardwood floors"
